Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Arsenal,3,2,5,4,3,2,4,2,2,3,3,3,2,2,2,3,4,4,3,4,4,2,2,4,2,2,2,5,2,2,2,2,3,3,4,4,2,3
Aston Villa,4,2,2,2,2,4,2,2,2,5,4,3,2,3,4,3,2,2,2,3,2,4,2,3,3,4,2,2,3,4,3,3,5,4,3,4,4,3
Bournemouth,2,2,4,3,2,2,2,4,2,4,4,3,3,3,2,4,4,2,4,2,3,3,2,2,2,2,2,4,5,3,3,2,4,4,3,5,2,4
Brighton,3,2,2,5,2,3,4,4,2,2,2,4,3,5,4,3,2,2,4,2,4,4,2,3,3,3,2,3,3,4,3,4,2,4,4,2,2,2
Burnley,2,4,3,4,2,2,2,2,3,4,2,2,3,3,4,4,2,3,4,4,2,4,3,4,4,2,2,3,4,5,3,2,2,3,5,3,2,2
Chelsea,4,3,2,2,3,4,2,2,2,2,3,3,5,2,2,4,2,4,2,4,2,2,3,4,3,4,4,3,2,2,4,3,3,2,2,2,5,3
Crystal Palace,2,2,4,2,4,3,2,3,4,4,3,4,4,2,2,3,2,3,2,2,2,4,5,2,2,4,2,2,3,3,5,2,3,4,2,4,3,4
Everton,2,3,2,3,3,2,4,2,2,2,4,2,2,3,5,4,4,4,2,3,5,2,3,2,3,3,4,4,4,4,2,3,4,2,3,2,2,2
Leicester,3,4,2,2,4,4,2,5,2,2,2,4,2,2,3,2,2,5,4,3,3,2,2,2,4,3,4,2,2,3,2,4,3,4,3,2,4,4
Liverpool,2,2,4,2,2,4,2,3,4,4,2,4,2,2,2,3,3,3,3,3,2,4,4,3,2,2,2,3,2,4,3,5,2,2,2,4,4,3
Man City,3,4,3,2,2,3,4,3,2,2,2,5,4,3,2,4,4,3,3,2,2,2,3,2,4,2,3,4,4,2,4,4,2,2,2,2,3,2
Man Utd,4,3,3,2,3,3,4,3,4,2,3,2,2,2,4,5,2,3,2,2,4,2,5,2,3,4,3,4,4,4,2,2,2,2,2,2,2,3
Newcastle,4,2,4,3,5,2,3,4,4,3,3,2,2,4,2,2,2,3,4,2,3,3,4,4,2,4,2,2,2,2,2,3,2,5,3,4,2,4
Norwich,5,2,4,3,4,2,2,2,3,4,2,3,4,4,2,2,3,3,2,4,3,4,2,4,3,4,3,3,2,2,2,4,2,3,2,4,2,5
Sheffield Utd,3,3,3,4,2,4,4,3,4,3,2,4,4,3,2,2,2,2,3,5,5,2,4,4,2,2,2,2,2,3,4,4,2,3,4,3,2,2
Southampton,2,4,2,4,2,2,4,4,3,3,5,2,4,3,2,3,2,2,4,3,4,3,3,2,5,2,2,3,2,2,4,3,4,4,4,2,3,2
Spurs,2,5,2,4,3,3,2,2,3,5,4,2,3,2,4,2,3,4,2,2,2,4,3,2,4,2,4,3,2,4,2,2,2,3,4,3,3,2
Watford,2,4,2,3,4,5,3,2,4,2,4,2,2,2,3,3,5,4,2,2,3,3,4,2,2,2,4,4,2,3,2,2,4,2,2,3,4,4
West Ham,4,2,3,2,2,4,3,2,4,2,2,2,4,4,3,4,2,4,2,3,2,2,2,3,2,5,5,3,4,3,4,4,3,2,2,3,4,2
Wolves,3,4,2,4,4,2,3,5,2,3,4,2,3,2,2,2,4,2,4,5,3,2,2,4,4,2,2,4,2,3,2,2,4,2,2,2,3,4
